"Overall Experience","Staff Attitude","Communication","Environment","What Could Be Improved"
"Excellent overall. I was treated with great dignity and respect throughout my stay.","The nurses were incredibly kind and attentive. They checked on me regularly and always answered my questions.","I was kept fully informed about every stage of my treatment and what to expect next.","The ward was very clean and quiet at night which helped me rest and recover.","Nothing I can think of. Everything was brilliant."
"Very positive experience. Felt safe and well cared for the entire time.","Staff were professional and compassionate. One nurse in particular went above and beyond to comfort me.","Doctors explained my diagnosis clearly and gave me time to ask questions.","The side room I was given was spotless. Temperature was comfortable.","The food could be a bit warmer when served."
"Good experience overall despite the circumstances.","Most staff were friendly and helpful. Had a couple of rushed interactions but generally positive.","I was told about my medication changes but not always given reasons why.","Ward was clean but there were some noisy patients at night making sleep difficult.","More information at discharge about what to watch out for at home would have helped."
"Satisfactory stay but some issues with waiting times.","Staff were mostly kind but seemed very stretched and busy.","Communication was inconsistent. Some doctors explained things well but others did not.","Clean environment but the toilets needed more frequent attention.","Shorter waiting times before procedures and better staffing levels would improve things."
"Poor experience. Waited too long for pain relief and felt ignored at times.","Some staff were lovely but others seemed dismissive when I pressed my call button.","Nobody told me when my operation was scheduled. I found out from another patient.","Ward felt chaotic and I spotted some hygiene issues near the shared bathroom.","Much better communication between staff and patients. Felt forgotten for hours."
"Extremely long waits made an already stressful situation worse.","A few staff members were warm and reassuring but many seemed too busy to talk.","I had to ask multiple times for updates on my test results. Very frustrating.","The ward was acceptable but the noise from the corridor made rest impossible.","Faster response to call bells and more staff visible on the ward at night."
"Outstanding care from admission to discharge. Could not fault the team.","Every single member of staff treated me with kindness and professionalism.","My consultant took extra time to draw diagrams explaining my condition which really helped me understand.","Spotlessly clean ward. Fresh towels daily and bedding changed regularly.","Honestly nothing. This was a very difficult time and the team made it bearable."
"Very good. Felt genuinely cared for not just processed.","Nurses were attentive and remembered personal details about me which made a real difference.","Ward rounds happened at consistent times and family were included in discussions when appropriate.","Clean and well organised. The food was actually surprisingly decent.","Parking charges for long-stay patients and families are excessive and cause real stress."
"Reasonable experience but some gaps in care.","Staff were helpful when available but clearly understaffed on night shifts.","Received conflicting information from two different doctors about my discharge date.","Bathroom facilities were clean. The ward temperature was often too warm at night.","Consistency of information from the care team and better overnight staffing would help greatly."
"Not a pleasant experience. Felt like a burden rather than a patient.","Night staff were dismissive and slow to respond. Day staff were much better.","I was told my operation would be at nine in the morning. It was eventually done at five in the afternoon with no explanation.","The ward smelled of disinfectant but I did notice some equipment that looked unclean.","Better communication when delays happen and treating patients as individuals not numbers."
